SMA12_1;SMA12_2;PARAM12_1;PARAM12_2;PARAM12_3;PARAM12_4;SMA4_1;SMA4_2;SMA4_3;SMA4_4;PARAM4_1;PARAM4_2;Profit;Loss deals;Profit deals;Maximum loss in profit deals
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;3.0;4.0;-1000000.0;100000.0;108.20015375034016;449.0;370.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;3.0;6.0;-1000000.0;100000.0;84.04501476227819;525.0;527.0;-4.937303613221951
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;3.0;8.0;-1000000.0;100000.0;-59.61418037657472;577.0;571.0;-4.937303613221951
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;3.0;10.0;-1000000.0;100000.0;-46.33690486152076;513.0;559.0;-4.954629288085584
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;3.0;12.0;-1000000.0;100000.0;-76.15225041192423;440.0;521.0;-11.952385054583223
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;3.0;14.0;-1000000.0;100000.0;-51.615882643229995;447.0;567.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;3.0;16.0;-1000000.0;100000.0;-49.82287514547879;410.0;525.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;3.0;18.0;-1000000.0;100000.0;-43.23260929924291;408.0;509.0;-4.997536831980455
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;3.0;20.0;-1000000.0;100000.0;-60.307734275296085;393.0;497.0;-4.997536831980455
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;3.0;22.0;-1000000.0;100000.0;-71.91279021815464;371.0;473.0;-4.997536831980455
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;3.0;24.0;-1000000.0;100000.0;-52.243785081538334;359.0;445.0;-4.997536831980455
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;5.0;6.0;-1000000.0;100000.0;49.32542210839531;428.0;363.0;-4.954629288085584
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;5.0;8.0;-1000000.0;100000.0;0.6481165518359768;474.0;436.0;-7.130872652546467
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;5.0;10.0;-1000000.0;100000.0;-47.368003300053005;439.0;523.0;-4.917381836813112
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;5.0;12.0;-1000000.0;100000.0;-6.268852555527143;383.0;523.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;5.0;14.0;-1000000.0;100000.0;-55.21030722376464;363.0;508.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;5.0;16.0;-1000000.0;100000.0;-81.76592428063846;342.0;513.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;5.0;18.0;-1000000.0;100000.0;-80.75343419424749;322.0;442.0;-6.86877794832614
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;5.0;20.0;-1000000.0;100000.0;-58.861048273363465;305.0;416.0;-4.997536831980455
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;5.0;22.0;-1000000.0;100000.0;-134.5949088091958;287.0;387.0;-4.997536831980455
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;5.0;24.0;-1000000.0;100000.0;-114.49961432096558;294.0;364.0;-5.298248831178433
3.0;6.0;0.4;0.4;400.0;500.0;9.0;10.0;7.0;8.0;-1000000.0;100000.0;39.23538870102361;394.0;336.0;-5.152813740836631
