SMA12_1;SMA12_2;PARAM12_1;PARAM12_2;PARAM12_3;PARAM12_4;SMA4_1;SMA4_2;SMA4_3;SMA4_4;Profit;Loss deals;Profit deals;Maximum loss in profit deals
3.0;6.0;0.2;0.2;300.0;;12.0;14.0;3.0;12.0;98.67772188558162;338.0;601.0;-9.2892285815855
3.0;6.0;0.2;0.4;300.0;;12.0;14.0;3.0;12.0;109.6917512824887;393.0;678.0;-8.196547838276121
3.0;6.0;0.2;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;36.08826519410148;650.0;1196.0;-11.28268877934745
3.0;6.0;0.2;0.8;300.0;;12.0;14.0;3.0;12.0;12.35627876700513;653.0;1189.0;-11.28268877934745
3.0;6.0;0.4;0.2;300.0;;12.0;14.0;3.0;12.0;73.21344057534336;389.0;654.0;-9.2892285815855
3.0;6.0;0.4;0.4;300.0;;12.0;14.0;3.0;12.0;134.59215835167137;333.0;569.0;-9.2892285815855
3.0;6.0;0.4;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;75.65632943732426;478.0;862.0;-11.28268877934745
3.0;6.0;0.4;0.8;300.0;;12.0;14.0;3.0;12.0;57.115663571737215;662.0;1227.0;-11.28268877934745
3.0;6.0;0.6000000000000001;0.2;300.0;;12.0;14.0;3.0;12.0;24.409692455751397;432.0;647.0;-8.086601908529232
3.0;6.0;0.6000000000000001;0.4;300.0;;12.0;14.0;3.0;12.0;62.96821087221761;315.0;517.0;-9.2892285815855
3.0;6.0;0.6000000000000001;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;139.09616697698746;278.0;477.0;-8.086601908529232
3.0;6.0;0.6000000000000001;0.8;300.0;;12.0;14.0;3.0;12.0;68.17413735894941;649.0;1244.0;-11.28268877934745
3.0;6.0;0.8;0.2;300.0;;12.0;14.0;3.0;12.0;2.3058433563192153;508.0;749.0;-8.39601300273108
3.0;6.0;0.8;0.4;300.0;;12.0;14.0;3.0;12.0;-2.4197678236230287;400.0;591.0;-9.2892285815855
3.0;6.0;0.8;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;23.16710711906349;331.0;435.0;-9.2892285815855
3.0;6.0;0.8;0.8;300.0;;12.0;14.0;3.0;12.0;120.5930164319614;211.0;352.0;-15.679145534511141
